"gene","category","ifcurated"
"BUB1B","exp","FALSE"
"SMC3","exp","FALSE"
"BUB1","exp","FALSE"
"EMD","mty","FALSE"
"TUBB2B","mty","FALSE"
"MIR92A2","neighbor","TRUE"
"TFAP2A","neighbor","TRUE"
"MIR25","neighbor","TRUE"
"RBL2","exp","FALSE"
"MIR193B","neighbor","TRUE"
"RAD21","exp","FALSE"
"MIR221","neighbor","TRUE"
"NUF2","exp","FALSE"
"BRCC3","mty","FALSE"
