"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"MIR92A2","BRCC3","3928","285","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","BRCC3","1511","285","inhibition","DATABASE","DATABASE","inhibition"
