"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"MIR92A2","CC2D2A","3928","4576","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","TUBB2B","3928","4508","inhibition","DATABASE","DATABASE","inhibition"
